"","date","fitted_values","predicted_lower","predicted_upper","CANA_rate","residuals"
"1",2018-02-01,0.0819060241096403,-1.10415058943166,1.27065149239488,0.234703217781116,0.152797193671476
"2",2018-03-01,0.43344293202965,-0.732248847433005,1.59902510670338,0.0444891938089902,-0.38895373822066
"3",2018-04-01,0.55048596411486,-0.61574791504453,1.72767444804519,0.0707999812760295,-0.479685982838831
"4",2018-05-01,0.572293611676444,-0.594674829050965,1.7415776868457,0.13155971349218,-0.440733898184265
"5",2018-06-01,0.918510348928028,-0.192077488227439,2.03668805909184,0.25985401459854,-0.658656334329488
"6",2018-07-01,0.169697084757943,-0.941345040483472,1.27906903336939,-0.0448469670054499,-0.214544051763393
"7",2018-08-01,0.32998425080511,-0.79286209187988,1.45800519312806,0.220839305900322,-0.109144944904788
"8",2018-09-01,-0.276947527132952,-1.49199364148711,0.93791980010856,0.184305540212915,0.461253067345867
"9",2018-10-01,0.00785285508876131,-1.12276249825276,1.14081337601977,0.173520433626971,0.165667578538209
"10",2018-11-01,0.216905839405586,-0.898840939053655,1.32990241593383,0.0840029429996582,-0.132902896405927
"11",2018-12-01,0.216697838138179,-0.903660656346002,1.33740409869009,0.262795355352583,0.0460975172144035
"12",2019-01-01,0.985870526183138,-0.138602730337461,2.11681222108622,0.019629125002874,-0.966241401180264
"13",2019-02-01,-0.0549961284127023,-1.17782421955651,1.07157163715472,0.0548353208732092,0.109831449285911
"14",2019-03-01,0.20403329604363,-0.938451315263318,1.34850434348287,0.129225053507257,-0.0748082425363732
"15",2019-04-01,0.492135684667511,-0.635551185743998,1.62315419444682,0.0149799786823296,-0.477155705985181
"16",2019-05-01,-0.448568111181001,-1.77475241896929,0.88461039638284,0.148625216745125,0.597193327926125
"17",2019-06-01,-0.00582233191326957,-1.12346506237168,1.10820571342017,0.197297654861398,0.203119986774668
"18",2019-07-01,-0.39214799936294,-1.54383780062957,0.756560878123899,0.0654450261779979,0.457593025540938
"19",2019-08-01,0.0588665247227189,-1.05486674838827,1.17436383516357,0.2036648193407,0.144798294617981
"20",2019-09-01,0.255142962078621,-0.872891905441483,1.39279102636019,0.0458030126931599,-0.209339949385461
"21",2019-10-01,-0.0657296880687242,-1.21955594677114,1.08664551057447,0.135629302796715,0.201358990865439
"22",2019-11-01,0.555280751862853,-0.566071177601196,1.68298001971673,0.345757752403159,-0.209522999459693
"23",2019-12-01,0.2247456365269,-0.987690986133697,1.43242551191847,0.0734695272321435,-0.151276109294757
"24",2020-01-01,0.507474656972318,-0.621364531490412,1.64642567227399,0.495128391914041,-0.0123462650582765
"25",2020-02-01,-0.301418145645779,-1.4763337617792,0.880921220900825,0.106466117724339,0.407884263370119
"26",2020-03-01,-3.42890035068421,-4.75678926797405,-2.12002636518099,-1.04712338066413,2.38177697002007
"27",2020-04-01,-3.63346018107828,-4.99134151150695,-2.29706989145373,-14.6261984118363,-10.9927382307581
"28",2020-05-01,-1.72108998842175,-2.90025209649293,-0.555664001640618,1.17721900425218,2.89830899267393
"29",2020-06-01,-0.610129153462965,-1.73726478570115,0.513505561467163,3.32576624992554,3.93589540338851
"30",2020-07-01,0.334161004249948,-0.836298187313898,1.51209395742986,0.362546279096583,0.0283852748466351
"31",2020-08-01,-0.132197120653504,-1.24592909223375,0.984582766320097,0.523984580429402,0.656181701082905
"32",2020-09-01,0.848052725662067,-0.333501194729177,2.02727797699759,0.981556141074889,0.133503415412822
"33",2020-10-01,0.495126183282577,-0.70867587372952,1.68798767127017,1.36937208819812,0.874245904915543
"34",2020-11-01,0.452572137553708,-0.679423068575876,1.58684242210352,0.390128326789843,-0.0624438107638643
"35",2020-12-01,0.870115109684545,-0.290309697387244,2.03722999871004,-0.501056481607326,-1.37117159129187
"36",2021-01-01,-0.54266584372331,-1.72010270392995,0.624087452072181,-0.532142790613925,0.0105230531093854
"37",2021-02-01,-0.356616332746191,-1.4686875628484,0.752251223045893,1.28597290717273,1.64258923991892
"38",2021-03-01,-0.169750422804489,-1.28093953767841,0.940790964994676,0.775963020030814,0.945713442835303
"39",2021-04-01,-0.142383865275249,-1.23216065759104,0.949082910628818,0.966307665021508,1.10869153029676
"40",2021-05-01,0.0493637027414168,-1.04442927400483,1.14526719339641,0.662672861305101,0.613309158563684
"41",2021-06-01,-0.13575642634874,-1.2283340441909,0.956007710676162,0.342393626303542,0.478150052652282
"42",2021-07-01,0.581591871398591,-0.552204135390221,1.71969446319626,1.13581846094798,0.554226589549391
"43",2021-08-01,-0.202595726712546,-1.3005471427988,0.894243677360354,0.535441101478855,0.738036828191401
"44",2021-09-01,0.52527348170433,-0.595689327783907,1.65796445656238,0.0289001999421867,-0.496373281762143
"45",2021-10-01,0.234141610411839,-0.8808846110202,1.36424320475445,1.48940435618346,1.25526274577162
"46",2021-11-01,-0.106254409027601,-1.22019181113596,1.02126098893886,0.36892008087193,0.475174489899531
"47",2021-12-01,-0.262521164787658,-1.39570064535917,0.872334815608803,0.375667837855034,0.638189002642692
"48",2022-01-01,-0.0650200715807681,-1.15602122168318,1.02736986137192,0.237589961247467,0.302610032828235
"49",2022-02-01,-0.462064317888327,-1.56293349268236,0.636309863563586,0.728914969508691,1.19097928739702
"50",2022-03-01,-0.141710136815022,-1.25641466416587,0.972409696219573,0.34040220004911,0.482112336864132
"51",2022-04-01,0.1852581743003,-0.958511786455095,1.35000387619429,0.337539773341753,0.152281599041454
"52",2022-05-01,0.229408631108219,-0.893519860689676,1.36936552984587,0.0998434273525731,-0.129565203755646
"53",2022-06-01,0.216639846971412,-0.895639132055442,1.34031434409334,0.168884455829343,-0.0477553911420692
"54",2022-07-01,0.238170940561474,-0.876899356454047,1.36245536439032,0.320792079207925,0.0826211386464509
"55",2022-08-01,0.17924410981667,-0.929877057904905,1.29199305673748,0.169752477201839,-0.00949163261483038
"56",2022-09-01,0.212523210940289,-0.903768138596106,1.32921024301094,0.124424326363331,-0.0880988845769577
"57",2022-10-01,0.453176774545753,-0.658589033418755,1.57156054369581,-0.0326137686334432,-0.485790543179196
"58",2022-11-01,0.323289823250362,-0.777691630262689,1.42493259506041,0.0579364499018619,-0.2653533733485
"59",2022-12-01,0.266148177918394,-0.829635005468395,1.36675075868385,0.0314811899889734,-0.23466698792942
"60",2023-01-01,0.0481204712611215,-1.05429996392623,1.14902635092628,-0.069686411149834,-0.117806882410955
"61",2023-02-01,0.229259816007556,-0.863841774778983,1.32660039189274,0.0551131506726218,-0.174146665334935
"62",2023-03-01,0.779467207109529,-0.317482743014797,1.882236616566,-0.0725069415560409,-0.85197414866557
"63",2023-04-01,0.678341037277398,-0.418170889521691,1.77602434534851,0.0354360604100417,-0.642904976867356
"64",2023-05-01,0.68918837538905,-0.407509966337082,1.79076533317973,0.232783050694984,-0.456405324694067
"65",2023-06-01,0.687819552065377,-0.438043532369573,1.81990720165074,0.0347802672470898,-0.653039284818287
"66",2023-07-01,0.865803466753071,-0.246588728788678,1.98754712122377,-0.232161683228289,-1.09796514998136
"67",2023-08-01,0.469938569801298,-0.670339273179566,1.62710514985156,0.0725085717497693,-0.397429998051529
"68",2023-09-01,0.905781690463642,-0.22665870522678,2.03908384392958,0.160077286437241,-0.745704404026401
"69",2023-10-01,-0.0509152608589668,-1.18413787502569,1.07571487734179,0.256275094771299,0.307190355630266
"70",2023-11-01,0.539284048717779,-0.553358486454021,1.63401146101468,0.16388766144055,-0.37539638727723
"71",2023-12-01,0.558936525081125,-0.577241101093489,1.69171383643848,0.231747769078705,-0.32718875600242
"72",2024-01-01,-0.372141722830211,-1.55600249031872,0.80582825658898,0.142627124782012,0.514768847612223
"73",2024-02-01,0.205206160471763,-0.911428431871379,1.33222084784559,-0.0367186848034635,-0.241924845275227
"74",2024-03-01,0.464527439916527,-0.634505218263176,1.56724640638365,0.101291748061805,-0.363235691854722
"75",2024-04-01,0.223349337783742,-0.882403328995745,1.32696312459143,0.0289112147714109,-0.194438123012331
"76",2024-05-01,-0.833270185290142,-2.09524205256892,0.433145085320661,NA,NA
"77",2024-06-01,-1.64443008762531,-3.11849781464815,-0.152483180545598,NA,NA
"78",2024-07-01,-2.14470952216671,-3.95294922250982,-0.30070241075958,NA,NA
